QuizID,Category,Subtopic,Title,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
273203,Fun & Casual,Would You Rather,Would You Rather - Hard Level Challenge,Hard,1200,Would you rather eat only spicy food for a year or eat only bland food for a year?,Eat only spicy food,Eat only bland food,Eat only sweet food,Eat only sour food,Eat only bland food
273203,Fun & Casual,Would You Rather,Would You Rather - Hard Level Challenge,Hard,1200,Would you rather always lose your keys or always forget your phone?,Always lose your keys,Always forget your phone,Always forget your wallet,Always lose your glasses,Always forget your phone
273203,Fun & Casual,Would You Rather,Would You Rather - Hard Level Challenge,Hard,1200,Would you rather be able to change the past or see the future?,Change the past,See the future,Relive any day,Forget the past,See the future
273203,Fun & Casual,Would You Rather,Would You Rather - Hard Level Challenge,Hard,1200,Would you rather have unlimited international first-class tickets or never have to pay for food at restaurants?,Unlimited international first-class tickets,Never pay for food at restaurants,Unlimited hotel stays,Unlimited free shopping,Unlimited international first-class tickets
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather have the ability to fly, breathe underwater, speak every language, or be invisible at will?",Be invisible at will,Speak every language,Fly,Breathe underwater,Fly
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather always have free Wi-Fi wherever you go, never have to wait in line again, always get free food at restaurants, or have unlimited data on your phone?",Unlimited data on your phone,Never have to wait in line again,Always have free Wi-Fi wherever you go,Always get free food at restaurants,Never have to wait in line again
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather travel back in time to meet your ancestors, travel forward in time to meet your descendants, be famous in your lifetime, or live forever?",Travel back in time to meet your ancestors,Travel forward in time to meet your descendants,Live forever,Be famous in your lifetime,Travel forward in time to meet your descendants
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather give up social media for a year, eat only your favorite food for a year, never watch another movie, or never listen to music again?",Never watch another movie,Eat only your favorite food for a year,Give up social media for a year,Never listen to music again,Give up social media for a year
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather win the lottery once, have a perfect memory, always find the best deals when shopping, or have your dream job?",Always find the best deals when shopping,Have a perfect memory,Win the lottery once,Have your dream job,Have your dream job
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather never be stuck in traffic again, always wake up refreshed, never lose your keys, or instantly learn new skills?",Never lose your keys,Always wake up refreshed,Never be stuck in traffic again,Instantly learn new skills,Instantly learn new skills
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather be able to teleport anywhere, read minds, pause time for everyone but you, or be exceptionally lucky?",Be able to teleport anywhere,Pause time for everyone but you,Read minds,Be exceptionally lucky,Be exceptionally lucky
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather always have the newest technology, have unlimited vacation days, never get sick, or have a personal chef?",Have unlimited vacation days,Have a personal chef,Never get sick,Always have the newest technology,Never get sick
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather live on the beach, in the mountains, in a bustling city, or on a peaceful farm?",In a bustling city,On a peaceful farm,Live on the beach,In the mountains,Live on the beach
703159,Fun & Casual,Would You Rather,Would You Rather - Medium Level Challenge,Medium,900,"Would you rather be able to stop time, change your appearance at will, speak to animals, or have super strength?",Change your appearance at will,Speak to animals,Be able to stop time,Have super strength,Speak to animals
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,What is the main purpose of an Esports tournament?,To play casual games,To compete against other teams for a prize,To test new game updates,To socialize with other gamers,To compete against other teams for a prize
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,Which of the following is a popular Esports game?,Minecraft,League of Legends,Among Us,PlayerUnknown's Battlegrounds,League of Legends
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,What is a 'tournament bracket' used for in Esports?,To display team logos,To schedule matches between teams,To track player statistics,To announce tournament winners,To schedule matches between teams
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,What is 'prize pooling' in Esports tournaments?,The process of deciding the tournament schedule,The method of determining the winner of a match,The collection of prize money from various sources,The act of awarding the prize to the winners,The collection of prize money from various sources
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,Which Esports tournament is known for having one of the largest prize pools?,The International,League of Legends World Championship,Fortnite World Cup,CS:GO Major,The International
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,What does 'seeding' refer to in the context of Esports tournaments?,The process of randomly assigning teams to a bracket,The ranking of teams based on their past performance,The act of eliminating teams from the tournament,The method of determining the tournament winner,The ranking of teams based on their past performance
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,"In Esports, what is a 'LAN tournament'?",A tournament held online,A tournament held in a large arena,A tournament where teams compete in the same physical location,A tournament with a small prize pool,A tournament where teams compete in the same physical location
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,What is the role of a 'tournament organizer' in Esports?,To participate in the tournament as a player,To spectate and cheer for teams,To manage and coordinate the tournament,To commentate on the matches,To manage and coordinate the tournament
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,Which of the following is NOT a common format for Esports tournaments?,Single-elimination,Round-robin,Group stage followed by playoffs,Free-for-all,Free-for-all
262117,Gaming,Esports Tournaments,Esports Tournaments - Easy Level Challenge,Easy,600,What is the significance of 'qualifier tournaments' in Esports?,They are the main event of the Esports calendar,They determine the teams that qualify for a larger tournament,They are used to test new game updates,They are held after the main tournament,They determine the teams that qualify for a larger tournament
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,Which of the following esports tournaments is known for having one of the largest prize pools?,The International (Dota 2),League of Legends World Championship,Fortnite World Cup,CS:GO Major Championships,The International (Dota 2)
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,What is the name of the most prestigious tournament in the Overwatch esports scene?,Overwatch World Cup,Overwatch League Grand Finals,Overwatch Contenders,OWL Championship,Overwatch League Grand Finals
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,In what year was the first League of Legends World Championship held?,2010,2011,2012,2013,2011
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,Which team has won the most League of Legends World Championship titles?,T1,G2 Esports,Fnatic,SK Telecom T1,T1
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,What is the name of the governing body for esports in South Korea?,KeSPA,ESL,IESA,WESG,KeSPA
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,Which esports tournament is held annually in Blizzard's Anaheim Convention Center?,BlizzCon,EVO Championship Series,The International,PAX East,BlizzCon
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,Which of the following games has been featured in the Esports World Championships?,Street Fighter V,Super Smash Bros. Melee,Hearthstone,All of the above,All of the above
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,The CS:GO Major Championships are sponsored by which company?,Valve Corporation,Electronic Arts,Activision,Major League Gaming,Valve Corporation
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,The Fortnite World Cup is held annually by which company?,Epic Games,Activision,Rockstar Games,Tencent Holdings,Epic Games
850882,Gaming,Esports Tournaments,Esports Tournaments - Hard Level Challenge,Hard,1200,In which city was the inaugural Overwatch League Grand Finals held?,New York City,Los Angeles,Busan,Seattle,Busan
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,Which of the following Esports tournaments is considered one of the most prestigious in the Dota 2 scene?,League of Legends Championship Series,The International,EVO Championship Series,Overwatch World Cup,The International
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,What is the name of the largest annual Esports tournament for Fortnite?,Fortnite World Cup,Epic Games Championship,The Fortnite Showdown,FNCS,Fortnite World Cup
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,In which year was the first Overwatch World Cup held?,2016,2017,2018,2019,2018
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,Which Esports tournament is known for having one of the largest prize pools?,League of Legends World Championship,The International,Fortnite World Cup,CS:GO Major Championships,The International
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,Which of the following is NOT a major Esports tournament for League of Legends?,League of Legends World Championship,League of Legends Championship Series,Mid-Season Invitational,The International,The International
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,What is the name of the governing body for Esports in South Korea?,Korean e-Sports Association (KeSPA),Esports Federation (ESF),International Esports Federation (IESF),World Cyber Games (WCG),Korean e-Sports Association (KeSPA)
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,"Which Esports tournament is held annually in Berlin, Germany?",League of Legends World Championship,The International,Berlin eSports Grand Prix,DreamHack,DreamHack
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,Which of the following games is typically associated with the EVO Championship Series?,Street Fighter V,League of Legends,Dota 2,Overwatch,Street Fighter V
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,"What is the format of the group stage in most major Dota 2 tournaments, such as The International?",Single-elimination bracket,Round-robin group stage,Double-elimination bracket,Swiss stage,Swiss stage
855726,Gaming,Esports Tournaments,Esports Tournaments - Medium Level Challenge,Medium,900,Which Esports organization has won the most League of Legends World Championships?,SK Telecom T1,G2 Esports,Fnatic,Samsung Galaxy,SK Telecom T1
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,"In Divinity: Original Sin II, what is the name of the skeletal origin character?",Lohse,There are no skeletal origin characters,The Red Prince,Fane,Fane
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,Gordon Freeman is said to have burnt and destroyed what food in the break room microwave?,Pepperoni Pizza,Casserole,Sub Sandwich,Chicken Soup,Casserole
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,Which eSports team came first place in The International Dota 2 Championship 2016?,Digital Chaos,Wings Gaming,Evil Geniuses,Fnatic,Wings Gaming
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,"In the lore of the PAYDAY series, which criminal was arrested and then latered rescued by the PAYDAY gang?",Wolf,Hoxton,Dallas,Chains,Hoxton
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,"When was the top-down online RPG ""Space Station 13"" released?",2003,2000,2006,2010,2003
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,Who is the main protagonist in the game Life is Strange: Before The Storm?,Frank Bowers,Rachel Amber,Max Caulfield,Chloe Price ,Chloe Price 
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,"What was the first game in the ""Battlefield"" series?",Battlefield 2,Battlefield Vietnam,Battlefield 1942,Battlefield 1,Battlefield 1942
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,"What is the hardest possible difficulty in ""Deus Ex: Mankind Divided""?",I Never Asked For This,Nightmare,Extreme,Guru,I Never Asked For This
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,"In what year was the first ""Mass Effect"" game released?",2008,2009,2010,2007,2007
898498,Gaming,Game Development,Game Development - Easy Level Challenge,Easy,600,"In which mall does ""Dead Rising"" take place?",Twin Pines Mall,Liberty Mall,Central Square Shopping Center,Willamette Parkview Mall,Willamette Parkview Mall
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"Which of these characters in ""Undertale"" can the player NOT go on a date with?",Papyrus,Undyne,Toriel,Alphys,Toriel
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"Which game in the ""Monster Hunter"" series introduced the monster ""Gobul""?",Monster Hunter Frontier,Monster Hunter Freedom Unite,Monster Hunter Generations,Monster Hunter Tri,Monster Hunter Tri
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"What programming language was used to create the game ""Minecraft""?",Java,C++,HTML 5,Python,Java
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"In the Super Mario Bros. Series, what is Yoshi's scientific name?",T. Yoshisaur Munchakoopas,Yossy,T. Yoshisotop Munchakoopas,Yoshi,T. Yoshisaur Munchakoopas
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,What was the name of the hero in the 80s animated video game 'Dragon's Lair'?,Guy of Gisbourne,Arthur,Dirk the Daring,Sir Toby Belch,Dirk the Daring
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"Which Kingdom Hearts game featured the cast of ""The World Ends With You""?",Birth By Sleep,Dream Drop Distance,365/2 Days,Re:Chain of Memories,Dream Drop Distance
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"In the title of the game ""Luigi's Mansion"", what is the only letter to not appear with a pair of eyes in it?",s,n,i,m,s
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"Which team won the ""Tom Clancy's Rainbow Six Siege"" Invitational Event February 2017 in the PC Category?",Continuum,eRa Eternity,GIFU,Santos Dexterity,Continuum
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,What is the fastest speed possible in Trackmania²: Stadium?,500 km/h,1000  km/h,320 km/h,100 km/h,1000  km/h
585210,Gaming,Game Development,Game Development - Hard Level Challenge,Hard,1200,"How long was the World Record Speed Run of Valve Software's ""Half-Life"" that was done in 2014.","12 Minutes, 59 Seconds","5 Minutes, 50 Seconds","45 Minutes, 32 Seconds","20 Minutes, 41 Seconds","20 Minutes, 41 Seconds"
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,The default playermodel of Garry's Mod is this Half Life 2 character.,Isaac Kleiner,G-Man,Gordon Freeman,Alyx Vance,Isaac Kleiner
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,"In the game The World Ends With You, all of these characters act as a game partner with Neku for a week except:",Joshua,Beat,Shiki,Rhyme,Rhyme
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,"Sean Bean voices the character of ""Martin Septim"" in which Elder Scrolls game?",The Elder Scrolls V: Skyrim,The Elder Scrolls III: Morrowind ,The Elder Scrolls Online,The Elder Scrolls IV: Oblivion,The Elder Scrolls IV: Oblivion
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,What is the main character of Metal Gear Solid 2?,Venom Snake,Solidus Snake,Big Boss,Raiden,Raiden
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,What level do you have to be to get a service medal on CS:GO?,40,50,30,20,40
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,"When was the video game publisher ""Ubisoft"" founded ?",March 1986,April 1990,June 2001,August 1956,March 1986
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,"In the 2000 video game ""Crimson Skies,"" what was the name of the protagonists' zeppelin?",Helios,Icarus,Orion,Pandora,Pandora
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,How many times do you fight the Imprisoned in The Legend of Zelda: Skyward Sword?,5,4,3,2,3
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,"Of the following space shooter games, which came out first?",Sinistar,Galaxian,Galaga,Space Invaders,Space Invaders
818414,Gaming,Game Development,Game Development - Medium Level Challenge,Medium,900,"In Minecraft: Java Edition, which of the following feature/block was added to Survival mode in Beta 1.3?",Hunger,The Nether,Beds,Grass,Beds
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,What does Solid Snake use to hide himself with?,Cardboard Box,Cardboard cut-out,Cloaking Device,Metal Crate,Cardboard Box
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"The games Cry of Fear, Natural Selection and Counter-Strike were originally mods for what video game?",Half-Life,Doom,Arma 2,Warcraft III,Half-Life
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"What game mode was not in the original ""Wii Sports""?",Baseball,Boxing,Bowling,Table Tennis,Table Tennis
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"What is the name of the game developer who created ""Call Of Duty: Zombies""?",Naughty Dog,Treyarch,Infinity Ward,Sledgehammer Games,Treyarch
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"In what year was ""Metal Gear Solid"" released in North America?",2004,1987,2001,1998,1998
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"In ""Xenoblade Chronicles 2"", Which party member cannot use normal blades?",Zeke,Nia,Tora,Rex,Tora
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"In what year was ""Antichamber"" released?",2011,2013,2014,2012,2013
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"In the ""Hitman"" series, what is the name of the main character?",Agent 27,Agent Smith,Agent 47,Agent 67,Agent 47
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,"In Kingdom Hearts, how many members does Organization XIII have in total?",13,12,14,10,14
921371,Gaming,Game Lore,Game Lore - Easy Level Challenge,Easy,600,Who is the main antagonist of Ori and the Blind Forest?,Nibel,King Rammer XII,Gumo,Kuro,Kuro
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,"In the Portal series, what is the name of the artificially intelligent computer system that guides the player through Aperture Science?",GLaDOS,SHODAN,HAL 9000,KITT,GLaDOS
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,What is the name of the fictional world in which The Elder Scrolls V: Skyrim takes place?,Nirn,Tamriel,Morrowind,Cyrodiil,Tamriel
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,"In the Mass Effect series, what is the name of the artificial intelligence that assists Commander Shepard?",EDI,Cortana,GLaDOS,Liara T'Soni,EDI
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,What is the name of the final boss in the game 'Dark Souls'?,"Gwyn, Lord of Cinder","Manus, Father of the Abyss",Ornstein and Smough,The Bed of Chaos,"Gwyn, Lord of Cinder"
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,"In the 'Halo' series, what is the name of the human artificial intelligence that assists Master Chief?",Cortana,Serina,Iris,EDI,Cortana
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,What is the name of the planet where the game 'Red Faction: Guerrilla' takes place?,Earth,Mars,Eos,Triton,Mars
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,"In the 'Deus Ex' series, what is the name of the protagonist in 'Deus Ex: Human Revolution'?",Adam Jensen,JC Denton,Alex Denton,Ben Saxon,Adam Jensen
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,What is the name of the main antagonist in 'The Legend of Zelda: Ocarina of Time'?,Ganondorf,Zant,Ghirahim,Demise,Ganondorf
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,"In 'BioShock', what is the name of the underwater city where the game takes place?",Rapture,Arcadia,Elysium,Columbia,Rapture
539956,Gaming,Game Lore,Game Lore - Hard Level Challenge,Hard,1200,"In 'Fallout 3', what is the name of the capital of the Capital Wasteland?",Washington D.C.,Megaton,Rivet City,New Vegas,Megaton
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,Marvel vs Capcom 2: New age of Heroes was released in what year?,1998,2003,2000,2001,2000
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,"In the video game ""League of Legends"" which character is known as ""The Sinister Blade""?",Shaco,Zed,Katarina,Akali,Katarina
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,"In Overwatch, what is Lúcio's full name?",Lúcio João Lucas,Lúcio Luiz Lós Guilherme,Lúcio Correia Dos Santos,Lúcio Chupar Prima,Lúcio Correia Dos Santos
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900, Which of these champions from the MOBA 'League of Legends' is NOT a Yordle?,Lulu,Tristana,Veigar,Annie,Annie
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,Which of these games was the earliest known first-person shooter with a known time of publication?,Spasim,Quake,Doom,Wolfenstein,Spasim
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,"Who is the main protagonist of ""Ace Combat Zero: The Belkan War""?",Cipher,Blaze,Mobius 1,Pixy,Cipher
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,"In which location does Dark Sun Gwyndolin reside in ""Dark Souls""?",Blighttown,Firelink Shrine,Kiln of the first flame,Anor Londo,Anor Londo
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,"In the ""Call Of Duty: Zombies"" map ""Origins"", how many numbered power generators are there?",3,8,5,6,6
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,"In the ""Call Of Duty: Zombies"" map ""Origins"", how many steps are there to upgrade a Staff?",4,3,7,5,4
764047,Gaming,Game Lore,Game Lore - Medium Level Challenge,Medium,900,"Which of these is not a DLC vehicle in ""Mario Kart 8""?",Bone Rattler,300 SL Roadster,B Dasher,Wild Wiggler,Wild Wiggler
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,What is the name of the popular mobile game where you swipe to match candies?,Candy Crush Saga,Puzzle & Dragons,Fruit Ninja,Toon Blast,A
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,Which mobile game is known for its '2048' tile goal?,Threes!,2048,Drop7,Tetris,B
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,What is the name of the mobile game that involves slicing fruit?,Fruit Frenzy,Fruit Ninja,Fruit Blast,Fruit Smash,B
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,"In 'Clash of Clans', what is the main resource used to build and upgrade buildings?",Gold,Elixir,Gems,Dark Elixir,A
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,Which popular mobile game is set in a world where players are 'Pokemon Trainers'?,Pokémon Go,Harry Potter: Wizards Unite,Ingress,Jurassic World: The Game,A
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,What is the main objective in 'Asphalt 9: Legends'?,To collect all the cars,To beat every track in the game,To participate in racing and complete challenges,To customize your car,C
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,Which game involves building and managing a village on a mobile device?,Game of War,Clash of Clans,Hay Day,Boom Beach,B
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,"In 'Plants vs. Zombies', what is the primary task of the player?",To defend plants from zombies,To grow plants and attack zombies,To collect seeds,To upgrade the garden,A
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,What is the name of the popular augmented reality mobile game released in 2016?,Ingress Prime,Pokémon Go,Harry Potter: Wizards Unite,Jurassic World: The Game,B
362891,Gaming,Mobile Games,Mobile Games - Easy Level Challenge,Easy,600,Which mobile game is about solving jigsaw puzzles?,Toon Blast,Gardenscapes,Jigsawscapes,Puzzle & Dragons,C
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"In ""Earthbound"", how does one enter ""Master Belch's"" factory?","Enter the password ""Master Belch Rules""","Enter the password ""Fly Honey""","Enter the password ""Mr Saturn Drools""",Wait 3 Minutes,Wait 3 Minutes
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,What Pokémon's Base Stat Total does not change when it evolves?,Sneasel,Pikachu,Scyther,Larvesta,Scyther
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"In the SHMUP series, ""Gradius"", what is the name of the antagonist faction you fight against?",Belsar,Bydo,Bacterion,ORN Empire,Bacterion
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"In 2004, which person(s) created ""Roblox""?",James Kolein,David Baszucki and Erik Cassel,Jonas Alto and Sarah Smith,Erik Cassel,David Baszucki and Erik Cassel
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"What is the real name of ""Warhead"" in the Sega Genesis game ""Vectorman""?",Bitmap,Raster,Peacehead,Vectorkid,Raster
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,In the National Pokedex what number is Porygon-Z?,474,432,589,376,474
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"In ""Starbound"", according to the asset files, the description of the ""Erchius Ghost"" is the same as which other assets?",Spookit,Pyromantle,Trictus,Petricub,Spookit
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"In ""Pokémon Sun and Moon"", Team Skull took over which town?",Po Town,Tapu Village,Heahea City,Iki Town,Po Town
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"How many trophies are there in ""Super Smash Bros. for Nintendo 3DS""?",1155,685,1360,716,685
510076,Gaming,Mobile Games,Mobile Games - Hard Level Challenge,Hard,1200,"In Halo 2, how many rounds does the M6C hold in a single magazine?",6,36,12,18,12
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,Who published the 1998 video game Half-Life?,Sierra On-Line,EA,Valve,Blizzard,Sierra On-Line
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,In which game did the Konami Code make its first appearance?,Dance Dance Revolution,Castlevania,Gradius,Contra,Gradius
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,"Which puzzle game was designed by a Russian programmer, featuring Russian buildings and music?",Tetris,Jenga,Puzzled,Boulder Dash,Tetris
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,"Which German city does the map ""Clubhouse"" in ""Tom Clancy's Rainbow Six Siege"" take place in?",Hannover,Munich,Berlin,Hamburg,Hannover
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,"In Minecraft: Java Edition, which of the following feature/block was added to Survival mode in Beta 1.3?",Hunger,Beds,The Nether,Grass,Beds
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,What is not a default game mode in Counter-Strike (2000)?,Arms Race,Hostage Rescue,Assassination,Bomb Defusal,Arms Race
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,Which of these video game series have NOT had a promotional item appear in Team Fortress 2?,Fallout,Half-Life,The Binding of Isaac,Quake,Half-Life
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,"What's the famous line Vaas says in ""Far Cry 3""?",Have I failed to entertain you?,You're my b*tch!,Maybe your best course...would be to tread lightly.,Did I ever tell you the definition of Insanity?,Did I ever tell you the definition of Insanity?
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,On which planet does the game Freedom Planet (2014) take place?,Avalice,Galaxytrail,Freedom,Shang Mu,Avalice
220345,Gaming,Mobile Games,Mobile Games - Medium Level Challenge,Medium,900,"In ""Call Of Duty: Zombies"", completing which map's main easter egg will reward you with the achievement, ""High Maintenance""?",Mob Of The Dead,Ascension,Origins,Die Rise,Die Rise
255511,Gaming,PC & Console Games,PC & Console Games - Easy Level Challenge,Easy,600,"In World of Warcraft's Mists of Pandaria expansion, What was the level cap?",80,75,85,90,90
255511,Gaming,PC & Console Games,PC & Console Games - Easy Level Challenge,Easy,600,Who is the main protagonist in the game Life is Strange: Before The Storm?,Max Caulfield,Chloe Price ,Frank Bowers,Rachel Amber,Chloe Price 
